"1.4 - Extensión superficial, población efectiva y densidad de población, año 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
 ,,,,,
   Mayabeque,3743.81,43.1,3700.71,341568,91.23539923233284
     Bejucal,115.36,-,115.36,24991,216.6348821081831
     San José de las Lajas,593.72,-,593.72,73461,123.73004109681331
     Jaruco,275.92,-,275.92,21630,78.39228761959988
     Santa Cruz del Norte,380.33,-,380.33,31487,82.78863092577498
     Madruga,465.6,-,465.6,23264,49.965635738831615
     Nueva Paz,524.84,-,524.84,21016,40.042679673805345
     San Nicolás,229.51,-,229.51,18555,80.84615049453183
     Güines,434.89,-,434.89,56925,130.89516889328337
     Melena del Sur,231.8,-,231.8,18556,80.05176876617773
     Batabanó,251.75,43.1,208.65,24381,96.84607745779543
     Quivicán,240.09,-,240.09,27302,113.71568994960224
   Matanzas,11791.820000000002,217.03999999999996,11574.78,637728,54.08223666914861
     Matanzas,370.86,-,370.86,141448,381.4053820848838
     Cárdenas,555.66,26.86,528.8,137923,248.21473562970164
     Martí,1012.26,105.16,907.1,20543,20.294193191472548
     Colón,607.88,-,607.88,61160,100.61196288741199
     Perico,278.38,-,278.38,27450,98.60622171132984
     Jovellanos,503.76,-,503.76,52950,105.10957598856598
     Pedro Betancourt,387.02,-,387.02,27267,70.45372332179215
     Limonar,441.69,-,441.69,25048,56.70945685888293
     Unión de Reyes,873.49,-,873.49,32585,37.30437669578358
     Ciénaga de Zapata,4162.400000000001,85.02,4077.38,9436,2.2669613684412835
     Jagüey Grande,881.86,-,881.86,54442,61.73542285623568
     Calimete,958.21,-,958.21,25633,26.75092098809238
     Los Arabos,758.35,-,758.35,21843,28.803323003890025
   Villa Clara,8411.81,492.43,7919.379999999999,685725,81.51931629459058
     Corralillo,837.3,-,837.3,23062,27.543293920936346
     Quemado de Güines,332.82,-,332.82,18850,56.63722132083409
     Sagua la Grande,961.9000000000001,279.69,682.21,44186,45.936168000831685
     Encrucijada,591.55,-,591.55,28992,49.010227368776945
     Camajuaní,585.71,-,585.71,53154,90.75139574192006
     Caibarién,385.76,212.74,173.02,36170,93.76296142679386
     Remedios,589.98,-,589.98,38402,65.09034204549306
     Placetas,656.47,-,656.47,58192,88.64380702850092
     Santa Clara,668.82,-,668.82,216190,323.24093179031723
     Cifuentes,415.9,-,415.9,23828,57.29261841788892
     Santo Domingo,878.07,-,878.07,41874,47.68868085687929
     Ranchuelo,521.83,-,521.83,45841,87.84661671425559
     Manicaragua,985.7,-,985.7,56984,57.81069290859288
,,,,,
,,,,,
"1.4 - Extensión superficial, población efectiva y densidad de población, año 2023 (continuación)",,,,,
,,,,,
,,,,,
,,,,,
,Extensión superficial (km2),,,                       Población, Densidad de
,,              Cayos,Área de,efectiva, población
CONCEPTO,Total,  adyacentes,tierra firme,         (U) ,(hab/km2)
,,,,,
  Cienfuegos,4188.610000000001,0.7,4187.91,356641,85.14543010688509
     Aguada de Pasajeros,655.57,-,655.57,27837,42.46228472931952
     Rodas,572.71,-,572.71,29964,52.31967313299925
     Palmira,310.36,-,310.36,28832,92.89856940327361
     Lajas,432.65,-,432.65,19600,45.302207326938635
     Cruces,193.35,-,193.35,26224,135.62968709594
     Cumanayagua,1089.25,-,1089.25,42653,39.15813633233876
     Cienfuegos,355.63,0.7,354.93,153192,430.7623091415235
     Abreus,579.09,-,579.09,28339,48.937125489992916
  Sancti Spíritus,6777.280000000001,12.16,6765.120000000001,415714,61.33935738231266
     Yaguajay,1055.57,10.96,1044.61,49468,46.863779758803304
     Jatibonico,763.7,-,763.7,38014,49.77609008773078
     Taguasco,502.15,-,502.15,29013,57.77755650701982
     Cabaiguán,596.76,-,596.76,55994,93.83001541658288
     Fomento,474.31,-,474.31,28840,60.80411545191963
     Trinidad,1167.57,0.83,1166.74,71039,60.84346120575212
     Sancti Spíritus,1142.1999999999998,0.37,1141.83,127304,111.45508667483804
     La Sierpe,1075.02,-,1075.02,16042,14.922513069524289
   Ciego de Ávila,6971.639999999999,776.74,6194.9,389920,55.92945131991899
     Chambas,766.96,-,766.96,34236,44.63857306769584
     Morón,1246.49,654.32,592.17,62059,49.78700190133896
     Bolivia,891.95,-,891.95,14317,16.051348169740457
     Primero de Enero,651.54,-,651.54,21234,32.59047794456212
     Ciro Redondo,567.08,-,567.08,28496,50.25040558651337
     Florencia,290.69,-,290.69,16582,57.0435859506691
     Majagua,497.63,-,497.63,22624,45.463496975664654
     Ciego de Ávila,450.04,-,450.04,136826,304.03075282197136
     Venezuela,821.02,122.42,698.6,23584,28.725244208423668
     Baraguá,788.24,-,788.24,29962,38.01126560438445
   Camagüey,15386.16,1233.96,14152.2,680088,44.201282191268
     Carlos Manuel de Céspedes,664.13,-,664.13,21198,31.918449701112735
     Esmeralda,1905.82,666.99,1238.83,27349,14.350253434217294
     Sierra de Cubitas,566.38,-,566.38,17170,30.315335993502597
     Minas,1056.33,-,1056.33,33739,31.93982940937018
     Nuevitas,1372.32,452.17,920.15,54257,39.53669698029614
     Guáimaro,1286.03,-,1286.03,33675,26.18523673631253
     Sibanicú,745.11,-,745.11,27480,36.88046060313242
     Camagüey,1098.58,-,1098.58,288424,262.5425549345519
     Florida,1743.78,-,1743.78,61430,35.22806776084139
     Vertientes,2041.09,-,2041.09,45376,22.231258788196502
     Jimaguayú,783.43,-,783.43,18668,23.828548817379986
     Najasa,885.32,-,885.32,14290,16.141056341209957
     Santa Cruz del Sur,1237.84,114.8,1123.04,37032,29.91662896658696
,,,,,
"1.4 - Extensión superficial, población efectiva y densidad de población, año 2023 (continuación)",,,,,
,,,,,
,,,,,
,,,,,
,Extensión superficial (km2),,,                       Población, Densidad de
,,              Cayos,Área de,efectiva, población
CONCEPTO,Total,  adyacentes,tierra firme,         (U) ,(hab/km2)
,,,,,
,,,,,
   Las Tunas,6592.66,8.93,6583.73,489984,74.32265580205865
     Manatí,942.3000000000001,1.36,940.94,26683,28.316884219463013
     Puerto Padre,1106.25,2.94,1103.31,81603,73.76542372881356
     Jesús Menéndez,638.17,-,638.17,44374,69.53319648369558
     Majibacoa,698.89,-,698.89,38950,55.73123095193807
     Las Tunas,908.92,-,908.92,196035,215.67904766096026
     Jobabo,885.63,-,885.63,38571,43.55204769486129
     Colombia,559.97,-,559.97,29639,52.92962122970873
     Amancio ,852.53,4.63,847.9,34129,40.03260882314992
   Holguín,9215.72,48.099999999999994,9167.619999999999,938744,101.8633378618274
     Gibara,619.35,-,619.35,64436,104.03810446435779
     Rafael Freyre,618.46,0.13,618.33,51739,83.6577951686447
     Banes,578.82,0.22,578.6,62700,108.32383124287342
     Antilla,302.74,0.12,302.62,20753,68.55057144744666
     Báguanos,803.4,-,803.4,46547,57.937515558874786
     Holguín,689.81,-,689.81,317815,460.7283164929474
     Calixto García,591.26,-,591.26,50959,86.18712579914082
     Cacocum,662.14,-,662.14,37655,56.86863805237563
     Urbano Noris,770.12,-,770.12,35900,46.616111774788344
     Cueto,329.04,-,329.04,29305,89.06212010697787
     Mayarí,1304.2,42.89,1261.31,87157,66.82794049992333
     Frank País,480.08,2.12,477.96,21502,44.78836860523246
     Sagua de Tánamo,699.97,-,699.97,43352,61.93408288926668
     Moa,766.33,2.62,763.71,68924,89.94036511685566
   Granma,8374.240000000002,6.34,8367.900000000001,768222,91.73632472916944
     Río Cauto,1502.14,-,1502.14,44698,29.756214467359897
     Cauto Cristo,552.74,-,552.74,20227,36.59405868943807
     Jiguaní,629.89,-,629.89,57055,90.5793074981346
     Bayamo,927.9,-,927.9,223060,240.39228365125553
     Yara,560.28,-,560.28,52377,93.48361533518955
     Manzanillo,498.95,2.59,496.36,115960,232.40805691953102
     Campechuela,585.01,-,585.01,39116,66.86381429377276
     Media Luna,367.25,-,367.25,30638,83.42545949625595
     Niquero,579.77,3.5,576.27,39811,68.66688514410887
     Pilón,462.3,0.25,462.05,27950,60.458576681808346
     Bartolomé Masó,637.93,-,637.93,45485,71.30092643393476
     Buey Arriba,477.79,-,477.79,29741,62.247012285732225
     Guisa,592.29,-,592.29,42104,71.08679869658445
,,,,,
,,,,,
,,,,,
,,,,,
"1.4 - Extensión superficial, población efectiva y densidad de población, año 2023 (conclusión)",,,,,
,,,,,
,,,,,
,,,,,
,Extensión superficial (km2),,,                       Población, Densidad de
,,              Cayos,Área de,efectiva, población
CONCEPTO,Total,  adyacentes,tierra firme,         (U) ,(hab/km2)
,,,,,
   Santiago de Cuba,6227.78,0.15000000000000002,6227.629999999999,988655,158.74918510287776
     Contramaestre,682.29,-,682.29,100814,147.75828460038989
     Mella,332.16,-,332.16,32931,99.14197976878611
     San Luis,683.14,-,683.14,74717,109.37289574611354
     Segundo Frente,535.96,-,535.96,39406,73.52414359280543
     Songo - La Maya,714.15,-,714.15,88003,123.22761324651684
     Santiago de Cuba,1031.74,0.1,1031.64,474253,459.6632872622948
     Palma Soriano,928.24,-,928.24,114734,123.60380935964837
     Tercer Frente,369.57,-,369.57,29961,81.06989203669129
     Guamá,950.53,0.05,950.48,33836,35.596982735947314
   Guantánamo,6167.970000000001,1.65,6166.3200000000015,478328,77.55031233939204
     El Salvador,630.38,-,630.38,40547,64.32152035280308
     Manuel Tames,1051.55,-,1051.55,34969,33.25471922400266
     Yateras,625.34,-,625.34,18301,29.26567947036812
     Baracoa,974.36,-,974.36,75370,77.35333962806355
     Maisí,523.31,-,523.31,28600,54.6521182473104
     Imías,527.48,-,527.48,20632,39.114279214377795
     San Antonio del Sur,584.94,-,584.94,25091,42.89499777754983
     Caimanera,360.58,1.65,358.93,10701,29.677186754673027
     Guantánamo,257.39,-,257.39,208197,808.8775787715141
     Niceto Pérez,632.64,-,632.64,15920,25.164390490642386
 Isla de la Juventud,2419.27,215.12,2204.15,76154,31.478090498373476
1 Ver párrafo 7 de la Introducción,,,,,
,,,,,
Fuente: Sistema Informativo del Catastro Nacional. Instituto Nacional de Ordenamiento Territorial y Urbanismo. 20 de abril de 2023.,,,,,
,,,,,
"Densidad de Población por provincias y municipios, Año 2023",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Fuente: ONEI (2024) Sistema de Información Estadístico Nacional (SIEN), de Demografía 2023.",,,,,
